Name,Codename,Cores,Clock,Socket,Process,L3 Cache,TDP,Released
Pentium 4 HT 3.00,Northwood,1  / 2,3 GHz,Socket 478,130 nm,N/A,82 W,"Apr 14th, 2003"
Pentium 4 HT 3.06,Northwood,1  / 2,3.06 GHz,Socket 478,130 nm,N/A,110 W,"Jun 1st, 2003"
Pentium 4 HT 3.20,Northwood,1  / 2,3.2 GHz,Socket 478,130 nm,N/A,82 W,"Jun 23rd, 2003"
Pentium 4 HT EE 3.20,Gallatin,1  / 2,3.2 GHz,Socket 478,130 nm,2MB,110 W,"Nov 3rd, 2003"
Pentium 4-M 2.40,Northwood,1 ,2.4 GHz,Socket 478,130 nm,N/A,35 W,"Jan 14th, 2003"
Pentium 4-M 2.50,Northwood,1 ,2.5 GHz,Socket 478,130 nm,N/A,35 W,"Apr 16th, 2003"
Pentium 4-M 2.60,Northwood,1 ,2.6 GHz,Socket 478,130 nm,N/A,35 W,"Jun 11th, 2003"
Pentium M 1.30,Banias,1 ,1300 MHz,Socket 478,130 nm,N/A,24 W,"Mar 12th, 2003"
Pentium M 1.40,Banias,1 ,1400 MHz,Socket 478,130 nm,N/A,24 W,"Mar 12th, 2003"
Pentium M 1.50,Banias,1 ,1500 MHz,Socket 478,130 nm,N/A,24 W,"Mar 12th, 2003"
Pentium M 1.60,Banias,1 ,1600 MHz,Socket 478,130 nm,N/A,24 W,"Mar 12th, 2003"
Pentium M 1.70,Banias,1 ,1700 MHz,Socket 478,130 nm,N/A,24 W,"Jun 2nd, 2003"
Xeon 3.06,Gallatin,1 ,3.066 GHz,Socket 604,130 nm,1MB,97 W,"Jul 14th, 2003"
Xeon 3.06,Gallatin,1 ,3.066 GHz,Socket 604,130 nm,2MB,97 W,"Jul 14th, 2003"
Xeon 3.06,Prestonia,1 ,3.066 GHz,Socket 604,130 nm,N/A,89 W,"Mar 10th, 2003"
Xeon 3.20,Gallatin,1 ,3.2 GHz,Socket 604,130 nm,1MB,97 W,"Oct 6th, 2003"
Celeron 2.0,Northwood,1 ,2000 MHz,Socket 478,130 nm,N/A,73 W,"Sep 18th, 2002"
Celeron 2.0,Northwood,1 ,2000 MHz,Socket 478,130 nm,N/A,73 W,"Sep 18th, 2002"
Celeron 2.10,Northwood,1 ,2.1 GHz,Socket 478,130 nm,N/A,73 W,"Nov 20th, 2002"
Celeron 2.20,Northwood,1 ,2.2 GHz,Socket 478,130 nm,N/A,73 W,"Nov 20th, 2002"
Pentium 4 2.0,Northwood,1 ,2000 MHz,Socket 478,130 nm,N/A,92 W,"Jan 7th, 2002"
Pentium 4 2.2,Northwood,1 ,2.2 GHz,Socket 478,130 nm,N/A,92 W,"Jan 7th, 2002"
Pentium 4 2.26,Northwood,1 ,2.261 GHz,Socket 478,130 nm,N/A,110 W,"Jan 7th, 2002"
Pentium 4 2.4,Northwood,1 ,2.4 GHz,Socket 478,130 nm,N/A,92 W,"May 6th, 2002"
Pentium 4 2.4,Northwood,1 ,2.4 GHz,Socket 478,130 nm,N/A,110 W,"Apr 2nd, 2002"
Pentium 4 2.53,Northwood,1 ,2.527 GHz,Socket 478,130 nm,N/A,110 W,"May 6th, 2002"
Pentium 4 2.60,Northwood,1 ,2.6 GHz,Socket 478,130 nm,N/A,92 W,"Aug 25th, 2002"
Pentium 4 2.66,Northwood,1 ,2.66 GHz,Socket 478,130 nm,N/A,110 W,"Aug 25th, 2002"
Pentium 4 2.80,Northwood,1 ,2.793 GHz,Socket 478,130 nm,N/A,110 W,"Aug 25th, 2002"
Pentium 4-M 1.40,Northwood,1 ,1400 MHz,Socket 478,130 nm,N/A,21 W,"Apr 23rd, 2002"
Pentium 4-M 1.50,Northwood,1 ,1500 MHz,Socket 478,130 nm,N/A,26 W,"Apr 23rd, 2002"
Pentium 4-M 1.60,Northwood,1 ,1600 MHz,Socket 478,130 nm,N/A,30 W,"Mar 4th, 2002"
Pentium 4-M 1.70,Northwood,1 ,1700 MHz,Socket 478,130 nm,N/A,30 W,"Mar 4th, 2002"
Pentium 4-M 1.80,Northwood,1 ,1800 MHz,Socket 478,130 nm,N/A,30 W,"Apr 23rd, 2002"
Pentium 4-M 1.90,Northwood,1 ,1900 MHz,Socket 478,130 nm,N/A,32 W,"Jun 24th, 2002"
Pentium 4-M 2.00,Northwood,1 ,2000 MHz,Socket 478,130 nm,N/A,32 W,"Jun 24th, 2002"
Pentium 4-M 2.20,Northwood,1 ,2.2 GHz,Socket 478,130 nm,N/A,35 W,"Sep 16th, 2002"
Pentium III 1400S,Tualatin,1 ,1400 MHz,Socket 370,130 nm,N/A,32 W,"Jan 8th, 2002"
Xeon 2.0,Prestonia,1 ,2000 MHz,Socket 604,130 nm,N/A,89 W,"Feb 25th, 2002"
Xeon 2.4,Prestonia,1 ,2.394 GHz,Socket 604,130 nm,N/A,89 W,"Apr 23rd, 2002"
Xeon 2.66,Prestonia,1 ,2.66 GHz,Socket 604,130 nm,N/A,89 W,"Nov 18th, 2002"
Xeon 2.8,Prestonia,1 ,2.79 GHz,Socket 604,130 nm,N/A,89 W,"Sep 11th, 2002"
Pentium 4 1.3,Willamette,1 ,1300 MHz,Socket 478,180 nm,N/A,52 W,"Jan 3rd, 2001"
Pentium 4 1.4,Willamette,1 ,1400 MHz,Socket 478,180 nm,N/A,55 W,"Aug 27th, 2001"
Pentium 4 1.5,Willamette,1 ,1500 MHz,Socket 478,180 nm,N/A,58 W,"Aug 27th, 2001"
Pentium 4 1.6,Willamette,1 ,1600 MHz,Socket 423,180 nm,N/A,61 W,"Jul 2nd, 2001"
Pentium 4 1.6,Willamette,1 ,1600 MHz,Socket 478,180 nm,N/A,61 W,"Aug 27th, 2001"
Pentium 4 1.7,Willamette,1 ,1700 MHz,Socket 478,180 nm,N/A,64 W,"Aug 27th, 2001"
Pentium 4 1.7,Willamette,1 ,1700 MHz,Socket 423,180 nm,N/A,64 W,"Apr 23rd, 2001"
Pentium 4 1.80,Willamette,1 ,1800 MHz,Socket 478,180 nm,N/A,67 W,"Aug 27th, 2001"
Pentium 4 1.8A,Willamette,1 ,1800 MHz,Socket 423,180 nm,N/A,67 W,"Jul 2nd, 2001"
Pentium 4 1.9,Willamette,1 ,1900 MHz,Socket 423,180 nm,N/A,69 W,"Aug 27th, 2001"
Pentium 4 1.9,Willamette,1 ,1900 MHz,Socket 478,180 nm,N/A,69 W,"Aug 27th, 2001"
Pentium 4 2.0,Northwood,1 ,2000 MHz,Socket 478,130 nm,N/A,110 W,"Jan 1st, 2001"
Pentium 4 2.0,Willamette,1 ,2000 MHz,Socket 478,180 nm,N/A,72 W,"Aug 27th, 2001"
Pentium 4 2.0,Willamette,1 ,2000 MHz,Socket 423,180 nm,N/A,72 W,"Aug 27th, 2001"
Pentium 4 HT 515,Prescott,1  / 2,2.933 GHz,Socket 775,90 nm,N/A,84 W,"Jan 1st, 2001"
Pentium 4 HT 515,Prescott,1  / 2,2.933 GHz,Socket 775,90 nm,N/A,84 W,"Jan 1st, 2001"
Pentium 4 HT 516,Prescott,1  / 2,2.933 GHz,Socket 775,90 nm,N/A,84 W,"Jan 1st, 2001"
Pentium 4 HT 516,Prescott,1  / 2,2.933 GHz,Socket 775,90 nm,N/A,84 W,"Jan 1st, 2001"
Pentium 4 HT 517,Prescott,1  / 2,2.933 GHz,Socket 775,90 nm,N/A,84 W,"Jan 1st, 2001"
Pentium 4 HT 517,Prescott,1  / 2,2.933 GHz,Socket 775,90 nm,N/A,84 W,"Jan 1st, 2001"
Pentium 4 HT 524,Prescott,1  / 2,3.06 GHz,Socket 775,90 nm,N/A,84 W,"Jan 1st, 2001"
Pentium 4 HT 524,Prescott,1  / 2,3.06 GHz,Socket 775,90 nm,N/A,84 W,"Jan 1st, 2001"
Pentium III  800,Coppermine T,1 ,800 MHz,Socket 370,180 nm,N/A,38 W,"Jun 1st, 2001"
Pentium III  866,Coppermine T,1 ,866 MHz,Socket 370,180 nm,N/A,38 W,"Jun 1st, 2001"
Pentium III  933,Coppermine T,1 ,933 MHz,Socket 370,180 nm,N/A,27 W,"Jun 1st, 2001"
Pentium III 1000,Coppermine T,1 ,1000 MHz,Socket 370,180 nm,N/A,29 W,"Jun 1st, 2001"
Pentium III 1000,Tualatin,1 ,1000 MHz,Socket 370,130 nm,N/A,30 W,"Jul 1st, 2001"
Pentium III 1000S,Tualatin,1 ,1000 MHz,Socket 370,130 nm,N/A,30 W,"Jun 1st, 2001"
Pentium III 1133,Coppermine T,1 ,1133 MHz,Socket 370,180 nm,N/A,29 W,"Jun 1st, 2001"
Pentium III 1133,Tualatin,1 ,1133 MHz,Socket 370,130 nm,N/A,29 W,"Jul 1st, 2001"
Pentium III 1133S,Tualatin,1 ,1133 MHz,Socket 370,130 nm,N/A,29 W,"Jun 1st, 2001"
Pentium III 1200,Tualatin,1 ,1200 MHz,Socket 370,130 nm,N/A,30 W,"Jul 1st, 2001"
Pentium III 1266S,Tualatin,1 ,1266 MHz,Socket 370,130 nm,N/A,30 W,"Jul 1st, 2001"
Pentium III 1333,Tualatin,1 ,1333 MHz,Socket 370,130 nm,N/A,30 W,"Dec 1st, 2001"
Pentium III 1400,Tualatin,1 ,1400 MHz,Socket 370,130 nm,N/A,31 W,"Dec 1st, 2001"
Pentium 4 1.4,Willamette,1 ,1400 MHz,Socket 423,180 nm,N/A,55 W,"Nov 20th, 2000"
Pentium 4 1.5,Willamette,1 ,1500 MHz,Socket 423,180 nm,N/A,58 W,"Nov 20th, 2000"
Pentium III 1133,Coppermine,1 ,1133 MHz,Socket 370,180 nm,N/A,29 W,"Jul 31st, 2000"

